oldorder,regionlabel,labels,neworder,region,hemi
51,Visual,Vis_1,1,1,R
52,Visual,Vis_2,2,1,R
53,Visual,Vis_3,3,1,R
54,Visual,Vis_4,4,1,R
55,Visual,Vis_5,5,1,R
56,Visual,Vis_6,6,1,R
57,Visual,Vis_7,7,1,R
58,Visual,Vis_8,8,1,R
59,Somatomotor,SomMot_1,9,2,R
60,Somatomotor,SomMot_2,10,2,R
61,Somatomotor,SomMot_3,11,2,R
62,Somatomotor,SomMot_4,12,2,R
63,Somatomotor,SomMot_5,13,2,R
64,Somatomotor,SomMot_6,14,2,R
65,Somatomotor,SomMot_7,15,2,R
66,Somatomotor,SomMot_8,16,2,R
67,Dorsal Attention,Post_1,17,3,R
68,Dorsal Attention,Post_2,18,3,R
69,Dorsal Attention,Post_3,19,3,R
70,Dorsal Attention,Post_4,20,3,R
71,Dorsal Attention,Post_5,21,3,R
72,Dorsal Attention,PrCv_1,22,3,R
73,Dorsal Attention,FEF_1,23,3,R
74,Ventral Attention,TempOccPar_1,24,4,R
75,Ventral Attention,TempOccPar_2,25,4,R
76,Ventral Attention,FrOperIns_1,26,4,R
77,Ventral Attention,Med_1,27,4,R
78,Ventral Attention,Med_2,28,4,R
79,Limbic,OFC_1,29,5,R
80,Limbic,TempPole_1,30,5,R
81,Frontoparietal,Par_1,31,6,R
82,Frontoparietal,Par_2,32,6,R
83,Frontoparietal,PFCl_1,33,6,R
84,Frontoparietal,PFCl_2,34,6,R
85,Frontoparietal,PFCl_3,35,6,R
86,Frontoparietal,PFCl_4,36,6,R
87,Frontoparietal,Cing_1,37,6,R
88,Frontoparietal,PFCmp_1,38,6,R
89,Frontoparietal,pCun_1,39,6,R
90,Default mode,Par_1,40,7,R
91,Default mode,Temp_1,41,7,R
92,Default mode,Temp_2,42,7,R
93,Default mode,Temp_3,43,7,R
94,Default mode,PFCv_1,44,7,R
95,Default mode,PFCv_2,45,7,R
96,Default mode,PFCdPFCm_1,46,7,R
97,Default mode,PFCdPFCm_2,47,7,R
98,Default mode,PFCdPFCm_3,48,7,R
99,Default mode,pCunPCC_1,49,7,R
100,Default mode,pCunPCC_2,50,7,R
119,Subcortical,Diencephalon_Ventral,51,8,R
118,Subcortical,Accumbens,52,8,R
117,Subcortical,Amygdala,53,8,R
116,Subcortical,Hippocampus,54,8,R
115,Subcortical,Pallidum,55,8,R
114,Subcortical,Putamen,56,8,R
113,Subcortical,Caudate,57,8,R
112,Subcortical,Thalamus,58,8,R
111,Subcortical,Cerebellum,59,8,R
106,Subcortical,Brain_Stem,60,8,
101,Subcortical,Cerebellum,61,8,L
102,Subcortical,Thalamus,62,8,L
103,Subcortical,Caudate,63,8,L
104,Subcortical,Putamen,64,8,L
105,Subcortical,Pallidum,65,8,L
107,Subcortical,Hippocampus,66,8,L
108,Subcortical,Amygdala,67,8,L
109,Subcortical,Accumbens,68,8,L
110,Subcortical,Diencephalon_Ventral,69,8,L
50,Default mode,pCunPCC_2,70,7,L
49,Default mode,pCunPCC_1,71,7,L
48,Default mode,PFC_7,72,7,L
47,Default mode,PFC_6,73,7,L
46,Default mode,PFC_5,74,7,L
45,Default mode,PFC_4,75,7,L
44,Default mode,PFC_3,76,7,L
43,Default mode,PFC_2,77,7,L
42,Default mode,PFC_1,78,7,L
41,Default mode,Par_2,79,7,L
40,Default mode,Par_1,80,7,L
39,Default mode,Temp_2,81,7,L
38,Default mode,Temp_1,82,7,L
37,Frontoparietal,Cing_1,83,6,L
36,Frontoparietal,pCun_1,84,6,L
35,Frontoparietal,PFCl_1,85,6,L
34,Frontoparietal,Par_1,86,6,L
33,Limbic,TempPole_2,87,5,L
32,Limbic,TempPole_1,88,5,L
31,Limbic,OFC_1,89,5,L
30,Ventral Attention,Med_3,90,4,L
29,Ventral Attention,Med_2,91,4,L
28,Ventral Attention,Med_1,92,4,L
27,Ventral Attention,PFCl_1,93,4,L
26,Ventral Attention,FrOperIns_2,94,4,L
25,Ventral Attention,FrOperIns_1,95,4,L
24,Ventral Attention,ParOper_1,96,4,L
23,Dorsal Attention,FEF_1,97,3,L
22,Dorsal Attention,PrCv_1,98,3,L
21,Dorsal Attention,Post_6,99,3,L
20,Dorsal Attention,Post_5,100,3,L
19,Dorsal Attention,Post_4,101,3,L
18,Dorsal Attention,Post_3,102,3,L
17,Dorsal Attention,Post_2,103,3,L
16,Dorsal Attention,Post_1,104,3,L
15,Somatomotor,SomMot_6,105,2,L
14,Somatomotor,SomMot_5,106,2,L
13,Somatomotor,SomMot_4,107,2,L
12,Somatomotor,SomMot_3,108,2,L
11,Somatomotor,SomMot_2,109,2,L
10,Somatomotor,SomMot_1,110,2,L
9,Visual,Vis_9,111,1,L
8,Visual,Vis_8,112,1,L
7,Visual,Vis_7,113,1,L
6,Visual,Vis_6,114,1,L
5,Visual,Vis_5,115,1,L
4,Visual,Vis_4,116,1,L
3,Visual,Vis_3,117,1,L
2,Visual,Vis_2,118,1,L
1,Visual,Vis_1,119,1,L
