labels,region,oldorder,neworder,hemi,regionlabel
Frontal_Inf_Oper,1,12,90,1,frontal
Frontal_Inf_Orb,1,16,89,1,frontal
Frontal_Inf_Tri,1,14,88,1,frontal
Frontal_Med_Orb,1,26,87,1,frontal
Frontal_Mid,1,8,86,1,frontal
Frontal_Mid_Orb,1,10,85,1,frontal
Frontal_Sup,1,4,84,1,frontal
Frontal_Sup_Medial,1,24,83,1,frontal
Frontal_Sup_Orb,1,6,82,1,frontal
Olfactory,1,22,81,1,frontal
Paracentralobule,1,70,80,1,frontal
Rectus,1,28,79,1,frontal
Supp_Motor_Area,1,20,78,1,frontal
Postcentral,2,58,77,1,central
Precentral,2,2,76,1,central
Rolandic_Oper,2,18,75,1,central
Cingulum_Ant,5,32,65,1,limbic
Cingulum_Mid,5,34,64,1,limbic
Cingulum_Post,5,36,63,1,limbic
Hippocampus,5,38,62,1,limbic
Insula,5,30,61,1,limbic
ParaHippocampal,5,40,60,1,limbic
Temporal_Pole_Mid,5,88,59,1,limbic
Temporal_Pole_Sup,5,84,58,1,limbic
Amygdala,6,42,57,1,subcortical
Caudate,6,72,56,1,subcortical
Pallidum,6,76,55,1,subcortical
Putamen,6,74,54,1,subcortical
Thalamus,6,78,53,1,subcortical
Calcarine,7,44,52,1,occipital
Cuneus,7,46,51,1,occipital
Fusiform,7,56,50,1,occipital
Lingual,7,48,49,1,occipital
Occipital_Inf,7,54,48,1,occipital
Occipital_Mid,7,52,47,1,occipital
Occipital_Sup,7,50,46,1,occipital
Angular,4,66,70,1,parietal
Parietal_Inf,4,62,69,1,parietal
Parietal_Sup,4,60,68,1,parietal
Precuneus,4,68,67,1,parietal
SupraMarginal,4,64,66,1,parietal
Heschl,3,80,74,1,temporal
Temporal_Inf,3,90,73,1,temporal
Temporal_Mid,3,86,72,1,temporal
Temporal_Sup,3,82,71,1,temporal
Precentral,2,1,15,2,central
Frontal_Sup,1,3,7,2,frontal
Frontal_Sup_Orb,1,5,9,2,frontal
Frontal_Mid,1,7,5,2,frontal
Frontal_Mid_Orb,1,9,6,2,frontal
Frontal_Inf_Oper,1,11,1,2,frontal
Frontal_Inf_Tri,1,13,3,2,frontal
Frontal_Inf_Orb,1,15,2,2,frontal
Rolandic_Oper,2,17,16,2,central
Supp_Motor_Area,1,19,13,2,frontal
Olfactory,1,21,10,2,frontal
Frontal_Sup_Medial,1,23,8,2,frontal
Frontal_Med_Orb,1,25,4,2,frontal
Rectus,1,27,12,2,frontal
Insula,5,29,30,2,limbic
Cingulum_Ant,5,31,26,2,limbic
Cingulum_Mid,5,33,27,2,limbic
Cingulum_Post,5,35,28,2,limbic
Hippocampus,5,37,29,2,limbic
ParaHippocampal,5,39,31,2,limbic
Amygdala,6,41,34,2,subcortical
Calcarine,7,43,39,2,occipital
Cuneus,7,45,40,2,occipital
Lingual,7,47,42,2,occipital
Occipital_Sup,7,49,45,2,occipital
Occipital_Mid,7,51,44,2,occipital
Occipital_Inf,7,53,43,2,occipital
Fusiform,7,55,41,2,occipital
Postcentral,2,57,14,2,central
Parietal_Sup,4,59,23,2,parietal
Parietal_Inf,4,61,22,2,parietal
SupraMarginal,4,63,25,2,parietal
Angular,4,65,21,2,parietal
Precuneus,4,67,24,2,parietal
Paracentralobule,1,69,11,2,frontal
Caudate,6,71,35,2,subcortical
Putamen,6,73,37,2,subcortical
Pallidum,6,75,36,2,subcortical
Thalamus,6,77,38,2,subcortical
Heschl,3,79,17,2,temporal
Temporal_Sup,3,81,20,2,temporal
Temporal_Pole_Sup,5,83,33,2,limbic
Temporal_Mid,3,85,19,2,temporal
Temporal_Pole_Mid,5,87,32,2,limbic
Temporal_Inf,3,89,18,2,temporal
